event_id,1_moduleMap_gpu_time,1_moduleMap_time,4_preprocess_gpu_time,4_preprocess_time,5_interactionGNN2_gpu_time,5_interactionGNN2_time,6_cCInfer_gpu_time,6_cCInfer_time,7_num_edges_bg,7_num_edges_gnn,8_num_scores_above_threshold,num_nodes,total_event,total_event_gpu
005000940,21.72290234375,21.722939252853394,0.004728576183319092,0.004775524139404297,0.8939818725585937,0.8940138816833496,0.028378591537475586,0.028429746627807617,1736760,1736760,28535.0,297961,22.69329309463501,22.6932734375
005000941,23.13727734375,23.13731837272644,0.004621535778045654,0.00465703010559082,1.0560120849609376,1.0560424327850342,0.008351200103759766,0.00839853286743164,1885148,1885148,29773.0,314154,24.25080895423889,24.250802734375
005000942,21.344119140625,21.344155073165894,0.004406144142150879,0.004446506500244141,0.8473226318359375,0.847353458404541,0.007354911804199219,0.0074002742767333984,1613873,1613873,27168.0,292786,22.245615482330322,22.24560546875
005000943,25.132578125,25.13262176513672,0.004785855770111084,0.00482940673828125,1.102329345703125,1.1023614406585693,0.008468671798706055,0.008514642715454102,2103793,2103793,33119.0,330450,26.296115398406982,26.296078125
005000944,22.354287109375,22.35432720184326,0.004513247966766358,0.004553794860839844,0.8487689819335937,0.8488011360168457,0.024009471893310548,0.024057388305664062,1649486,1649486,27165.0,294138,23.27331852912903,23.27330859375
005000945,24.42648828125,24.42653250694275,0.004665472030639648,0.004704475402832031,1.0471051025390625,1.0471351146697998,0.009519488334655761,0.0095672607421875,2056728,2056728,32285.0,324027,25.534715175628662,25.534724609375
005000946,15.8119130859375,15.81196928024292,0.003996095895767212,0.004035234451293945,0.6037975463867188,0.6038281917572021,0.005930399894714356,0.005975961685180664,971254,971254,17208.0,232262,16.45998764038086,16.459939453125
005000947,21.13269921875,21.132739543914795,0.0044561920166015625,0.004494905471801758,0.8197826538085937,0.8198146820068359,0.03193548774719238,0.03198862075805664,1568622,1568622,25617.0,286706,22.029722452163696,22.02970703125
005000948,19.353568359375,19.35361409187317,0.0042973442077636715,0.00433802604675293,0.7101680908203125,0.7101995944976807,0.006582560062408448,0.006630420684814453,1333608,1333608,22282.0,266451,20.113615036010742,20.11359375
005000949,19.92544921875,19.925495624542236,0.004386752128601074,0.004426002502441406,0.7607176513671875,0.7607500553131104,0.006885216236114502,0.006932973861694336,1438133,1438133,23770.0,277332,20.736720085144043,20.7366796875
005000950,19.68000390625,19.68005394935608,0.004296832084655762,0.004338502883911133,0.7209992065429688,0.721031665802002,0.0068419198989868165,0.006888389587402344,1373399,1373399,22487.0,271163,20.45141839981079,20.4514140625
005000951,17.92712109375,17.927165746688843,0.00431331205368042,0.0043561458587646484,0.7968403930664063,0.7968719005584717,0.006466815948486328,0.0065135955810546875,1241213,1241213,21339.0,257258,18.771623134613037,18.771607421875
005000952,19.739466796875,19.739516258239746,0.0042755198478698735,0.004314422607421875,0.7256309204101562,0.72566819190979,0.009419455528259277,0.009480476379394531,1379480,1379480,23274.0,272822,20.518526077270508,20.5185078125
005000953,22.153353515625,22.15339422225952,0.004504127979278565,0.004543781280517578,0.87380615234375,0.8738377094268799,0.008681920051574707,0.008734464645385742,1701492,1701492,27945.0,302183,23.084638357162476,23.084599609375
005000954,22.156775390625,22.15682053565979,0.004529439926147461,0.004568815231323242,0.8592916259765625,0.8593237400054932,0.007585055828094482,0.007631540298461914,1653181,1653181,26896.0,294987,23.07084560394287,23.0708359375
005000955,20.366646484375,20.36668109893799,0.004384191989898681,0.004424095153808594,0.808339111328125,0.8083701133728027,0.013757344245910644,0.01380300521850586,1565547,1565547,25608.0,285068,21.23523211479187,21.23519921875
005000956,20.927056640625,20.92709493637085,0.00441593599319458,0.004455089569091797,0.804839111328125,0.8048701286315918,0.007206463813781738,0.007252693176269531,1557773,1557773,25583.0,290402,21.784839630126953,21.784826171875
